24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:28:31 | GET | cafeteria-api/categorias
31-03-2026 17:28:43 | POST | cafeteria-api/categorias
31-03-2026 17:28:43 | GET | cafeteria-api/categorias
31-03-2026 17:28:51 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 17:28:51 | DELETE | cafeteria-api/categorias/4
31-03-2026 17:28:51 | GET | cafeteria-api/categorias
31-03-2026 17:37:55 | GET | cafeteria-api/categorias
31-03-2026 17:38:12 | GET | cafeteria-api/categorias
31-03-2026 17:38:14 | GET | cafeteria-api/categorias
31-03-2026 17:38:14 | GET | cafeteria-api/categorias
31-03-2026 17:38:15 | GET | cafeteria-api/produto
31-03-2026 17:38:16 | GET | cafeteria-api/categorias
31-03-2026 17:38:26 | GET | cafeteria-api/categorias
31-03-2026 17:38:26 | GET | cafeteria-api/categorias
31-03-2026 17:38:27 | GET | cafeteria-api/categorias
31-03-2026 17:38:27 | GET | cafeteria-api/categorias
31-03-2026 19:18:48 | GET | cafeteria-api/produtos
31-03-2026 19:18:48 | GET | cafeteria-api/categorias
31-03-2026 19:18:50 | GET | cafeteria-api/categorias
31-03-2026 19:18:51 | GET | cafeteria-api/categorias
31-03-2026 19:18:51 | GET | cafeteria-api/produtos
31-03-2026 19:23:10 | GET | cafeteria-api/categorias
31-03-2026 19:23:10 | GET | cafeteria-api/produtos
31-03-2026 19:28:03 | GET | cafeteria-api/produtos
s
31-03-2026 19:28:03 | GET | cafeteria-api/categorias
31-03-2026 19:28:06 | GET | cafeteria-api/categorias
31-03-2026 19:28:18 | GET | cafeteria-api/categorias
31-03-2026 19:28:21 | GET | cafeteria-api/categorias
31-03-2026 19:28:21 | GET | cafeteria-api/categorias
31-03-2026 19:28:21 | GET | cafeteria-api/categorias
31-03-2026 19:28:21 | GET | cafeteria-api/categorias
31-03-2026 19:28:38 | GET | cafeteria-api/categorias
31-03-2026 19:28:49 | GET | cafeteria-api/categorias
31-03-2026 19:28:51 | GET | cafeteria-api/categorias
31-03-2026 19:28:51 | GET | cafeteria-api/categorias
31-03-2026 19:28:52 | GET | cafeteria-api/categorias
31-03-2026 19:28:52 | GET | cafeteria-api/categorias
31-03-2026 19:28:52 | GET | cafeteria-api/categorias
31-03-2026 19:28:52 | GET | cafeteria-api/categorias
31-03-2026 19:29:46 | GET | cafeteria-api/categorias
31-03-2026 19:29:47 | GET | cafeteria-api/categorias
31-03-2026 19:30:21 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:25 | GET | cafeteria-api/categorias
31-03-2026 19:30:26 | GET | cafeteria-api/categorias
31-03-2026 19:30:26 | GET | cafeteria-api/categorias
31-03-2026 19:30:26 | GET | cafeteria-api/categorias
31-03-2026 19:30:26 | GET | cafeteria-api/categorias
31-03-2026 19:30:26 | GET | cafeteria-api/categorias
31-03-2026 19:30:37 | GET | cafeteria-api/categorias
31-03-2026 19:30:37 | GET | cafeteria-api/categorias
31-03-2026 19:30:37 | GET | cafeteria-api/categorias
31-03-2026 19:30:37 | GET | cafeteria-api/categorias
31-03-2026 19:30:37 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:38 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:30:39 | GET | cafeteria-api/categorias
31-03-2026 19:31:40 | GET | cafeteria-api/categorias
31-03-2026 19:31:43 | GET | cafeteria-api/categorias
31-03-2026 19:31:45 | GET | cafeteria-api/categorias
31-03-2026 19:32:02 | GET | cafeteria-api/categorias
31-03-2026 19:32:16 | GET | cafeteria-api/categorias
31-03-2026 19:32:19 | GET | cafeteria-api/categorias
31-03-2026 19:32:26 | GET | cafeteria-api/categorias
31-03-2026 19:32:37 | GET | cafeteria-api/categorias
31-03-2026 19:32:38 | GET | cafeteria-api/categorias
31-03-2026 19:32:38 | GET | cafeteria-api/categorias
31-03-2026 19:32:43 | POST | cafeteria-api/categorias
31-03-2026 19:32:43 | GET | cafeteria-api/categorias
31-03-2026 19:35:22 | GET | cafeteria-api/categorias
31-03-2026 19:35:31 | GET | cafeteria-api/categorias
31-03-2026 19:35:33 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 19:35:33 | DELETE | cafeteria-api/categorias/3
31-03-2026 19:35:33 | GET | cafeteria-api/categorias
31-03-2026 19:35:45 | POST | cafeteria-api/categorias
31-03-2026 19:35:45 | GET | cafeteria-api/categorias
31-03-2026 19:36:18 | GET | cafeteria-api/categorias
31-03-2026 19:36:18 | GET | cafeteria-api/produtos
31-03-2026 19:38:38 | GET | cafeteria-api/produtos
31-03-2026 19:38:38 | GET | cafeteria-api/categorias
31-03-2026 19:38:43 | GET | cafeteria-api/produtos
31-03-2026 19:38:43 | GET | cafeteria-api/categorias
31-03-2026 19:38:47 | GET | cafeteria-api/categorias
31-03-2026 19:38:47 | GET | cafeteria-api/produtos
31-03-2026 19:38:58 | GET | cafeteria-api/categorias
31-03-2026 19:38:58 | GET | cafeteria-api/produtos
31-03-2026 19:39:01 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:18 | GET | cafeteria-api/categorias
31-03-2026 19:39:20 | GET | cafeteria-api/produtos
31-03-2026 19:39:20 | GET | cafeteria-api/categorias
31-03-2026 19:39:23 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:29 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
s
