2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:26:52 | GET | meus-planos-api/categorias
2026-04-10 14:28:49 | POST | meus-planos-api/categorias
2026-04-10 14:30:39 | GET | meus-planos-api/categorias
2026-04-10 14:31:15 | POST | meus-planos-api/categorias
2026-04-10 14:31:22 | GET | meus-planos-api/categorias
2026-04-10 14:31:37 | DELETE | meus-planos-api/categorias/2
2026-04-10 14:31:46 | GET | meus-planos-api/categorias
2026-04-10 14:34:43 | POST | meus-planos-api/itens
2026-04-10 14:34:54 | POST | meus-planos-api/itens
2026-04-10 14:35:12 | POST | meus-planos-api/itens
2026-04-10 14:35:32 | POST | meus-planos-api/itens
2026-04-10 14:35:57 | POST | meus-planos-api/itens
2026-04-10 14:36:02 | GET | meus-planos-api/itens
2026-04-10 14:36:38 | DELETE | meus-planos-api/itens/4
2026-04-10 14:36:44 | GET | meus-planos-api/itens
2026-04-10 14:39:37 | PUT | meus-planos-api/itens/1
2026-04-10 14:39:44 | GET | meus-planos-api/itens
2026-04-10 15:55:00 | GET | meus-planos-api/categorias
2026-04-10 15:55:08 | GET | meus-planos-api/categorias
2026-04-10 15:55:12 | GET | meus-planos-api/categorias
2026-04-10 15:56:30 | POST | meus-planos-api/categorias
2026-04-10 15:56:30 | GET | meus-planos-api/categorias
2026-04-10 15:56:42 | POST | meus-planos-api/categorias
2026-04-10 15:56:42 | GET | meus-planos-api/categorias
2026-04-10 15:56:47 | OPTIONS | meus-planos-api/categorias/3
2026-04-10 15:56:47 | DELETE | meus-planos-api/categorias/3
2026-04-10 15:56:47 | GET | meus-planos-api/categorias
2026-04-10 16:00:59 | GET | meus-planos-api/categorias
2026-04-10 16:05:26 | GET | meus-planos-api/categorias
2026-04-10 16:05:29 | GET | meus-planos-api/categorias
2026-04-10 16:08:59 | GET | meus-planos-api/categorias
2026-04-10 16:09:00 | GET | meus-planos-api/categorias
2026-04-10 16:09:15 | GET | meus-planos-api/categorias
2026-04-10 16:09:15 | GET | meus-planos-api/categorias
2026-04-10 16:10:25 | GET | meus-planos-api/categorias
2026-04-10 16:10:35 | GET | meus-planos-api/categorias
2026-04-10 16:10:35 | GET | meus-planos-api/categorias
2026-04-10 16:11:52 | GET | meus-planos-api/categorias
2026-04-10 16:11:52 | GET | meus-planos-api/categorias
2026-04-10 16:12:50 | GET | meus-planos-api/categorias
2026-04-10 16:13:06 | GET | meus-planos-api/categorias
2026-04-10 16:13:06 | GET | meus-planos-api/categorias
2026-04-10 16:13:07 | GET | meus-planos-api/categorias
2026-04-10 16:13:07 | GET | meus-planos-api/categorias
2026-04-10 16:13:15 | GET | meus-planos-api/categorias
2026-04-10 16:13:15 | GET | meus-planos-api/categorias
2026-04-10 16:13:18 | GET | meus-planos-api/categorias
2026-04-10 16:13:18 | GET | meus-planos-api/categorias
2026-04-10 16:13:22 | GET | meus-planos-api/categorias
2026-04-10 16:13:22 | GET | meus-planos-api/categorias
2026-04-10 16:13:36 | GET | meus-planos-api/categorias
2026-04-10 16:13:36 | GET | meus-planos-api/categorias
2026-04-10 16:13:41 | GET | meus-planos-api/categorias
2026-04-10 16:13:41 | GET | meus-planos-api/categorias
2026-04-10 16:16:19 | GET | meus-planos-api/categorias
2026-04-10 16:16:19 | GET | meus-planos-api/categorias
2026-04-10 16:16:25 | GET | meus-planos-api/categorias
2026-04-10 16:16:25 | GET | meus-planos-api/categorias
2026-04-10 16:16:26 | GET | meus-planos-api/categorias
2026-04-10 16:16:26 | GET | meus-planos-api/categorias
2026-04-10 16:16:29 | GET | meus-planos-api/categorias
2026-04-10 16:16:29 | GET | meus-planos-api/categorias
2026-04-10 16:16:33 | GET | meus-planos-api/categorias
2026-04-10 16:16:33 | GET | meus-planos-api/categorias
2026-04-10 16:16:38 | GET | meus-planos-api/categorias
